"Bin","Room","Rack","Type","Status","SKU","Males","Females","Pregnant Females","Mothers","Mother Slots","Rats/Litter","Due Date","Birth Date","Grow-out Start","Source Bin","Active Vacation Mothers","Label Primary","Label Secondary","QR Target","SKU Freezer On Hand","Shopify Variant IDs","Last Event","Note","Updated At"
"55-2-02","nursery","55S 2","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-2-02","Nursery / 55S 2 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-2-02","","","","","2026-06-18T03:02:59.863Z"
"55-2-03","nursery","55S 2","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-2-03","Nursery / 55S 2 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-2-03","","","","","2026-06-18T03:02:59.863Z"
"55-2-04","nursery","55S 2","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-2-04","Nursery / 55S 2 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-2-04","","","","","2026-06-18T03:02:59.863Z"
"55-2-05","nursery","55S 2","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-2-05","Nursery / 55S 2 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-2-05","","","","","2026-06-18T03:02:59.863Z"
"55-2-06","nursery","55S 2","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-2-06","Nursery / 55S 2 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-2-06","","","","","2026-06-18T03:02:59.863Z"
"55-2-07","nursery","55S 2","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-2-07","Nursery / 55S 2 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-2-07","","","","","2026-06-18T03:02:59.863Z"
"55-2-08","nursery","55S 2","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-2-08","Nursery / 55S 2 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-2-08","","","","","2026-06-18T03:02:59.863Z"
"55-2-09","nursery","55S 2","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-2-09","Nursery / 55S 2 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-2-09","","","","","2026-06-18T03:02:59.863Z"
"55-3-01","nursery","55S 3","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-3-01","Nursery / 55S 3 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-3-01","","","","","2026-06-18T03:02:59.863Z"
"55-3-02","nursery","55S 3","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-3-02","Nursery / 55S 3 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-3-02","","","","","2026-06-18T03:02:59.863Z"
"55-3-03","nursery","55S 3","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-3-03","Nursery / 55S 3 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-3-03","","","","","2026-06-18T03:02:59.863Z"
"55-3-04","nursery","55S 3","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-3-04","Nursery / 55S 3 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-3-04","","","","","2026-06-18T03:02:59.863Z"
"55-3-05","nursery","55S 3","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-3-05","Nursery / 55S 3 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-3-05","","","","","2026-06-18T03:02:59.863Z"
"55-3-06","nursery","55S 3","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-3-06","Nursery / 55S 3 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-3-06","","","","","2026-06-18T03:02:59.863Z"
"55-3-07","nursery","55S 3","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-3-07","Nursery / 55S 3 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-3-07","","","","","2026-06-18T03:02:59.863Z"
"55-3-08","nursery","55S 3","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-3-08","Nursery / 55S 3 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-3-08","","","","","2026-06-18T03:02:59.863Z"
"55-3-09","nursery","55S 3","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-3-09","Nursery / 55S 3 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-3-09","","","","","2026-06-18T03:02:59.863Z"
"55-4-01","nursery","55S 4","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-4-01","Nursery / 55S 4 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-4-01","","","","","2026-06-18T03:02:59.863Z"
"55-4-02","nursery","55S 4","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-4-02","Nursery / 55S 4 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-4-02","","","","","2026-06-18T03:02:59.863Z"
"55-4-03","nursery","55S 4","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-4-03","Nursery / 55S 4 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-4-03","","","","","2026-06-18T03:02:59.863Z"
"55-4-04","nursery","55S 4","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-4-04","Nursery / 55S 4 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-4-04","","","","","2026-06-18T03:02:59.863Z"
"55-4-05","nursery","55S 4","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-4-05","Nursery / 55S 4 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-4-05","","","","","2026-06-18T03:02:59.863Z"
"55-4-06","nursery","55S 4","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-4-06","Nursery / 55S 4 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-4-06","","","","","2026-06-18T03:02:59.863Z"
"55-4-07","nursery","55S 4","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-4-07","Nursery / 55S 4 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-4-07","","","","","2026-06-18T03:02:59.863Z"
"55-4-08","nursery","55S 4","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-4-08","Nursery / 55S 4 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-4-08","","","","","2026-06-18T03:02:59.863Z"
"55-4-09","nursery","55S 4","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-4-09","Nursery / 55S 4 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-4-09","","","","","2026-06-18T03:02:59.863Z"
"55-5-01","nursery","55S 5","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-5-01","Nursery / 55S 5 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-5-01","","","","","2026-06-18T03:02:59.863Z"
"55-5-02","nursery","55S 5","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-5-02","Nursery / 55S 5 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-5-02","","","","","2026-06-18T03:02:59.863Z"
"55-5-03","nursery","55S 5","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-5-03","Nursery / 55S 5 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-5-03","","","","","2026-06-18T03:02:59.863Z"
"55-5-04","nursery","55S 5","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-5-04","Nursery / 55S 5 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-5-04","","","","","2026-06-18T03:02:59.863Z"
"55-5-05","nursery","55S 5","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-5-05","Nursery / 55S 5 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-5-05","","","","","2026-06-18T03:02:59.863Z"
"55-5-06","nursery","55S 5","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-5-06","Nursery / 55S 5 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-5-06","","","","","2026-06-18T03:02:59.863Z"
"55-5-07","nursery","55S 5","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-5-07","Nursery / 55S 5 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-5-07","","","","","2026-06-18T03:02:59.863Z"
"55-5-08","nursery","55S 5","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-5-08","Nursery / 55S 5 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-5-08","","","","","2026-06-18T03:02:59.863Z"
"55-5-09","nursery","55S 5","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-5-09","Nursery / 55S 5 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-5-09","","","","","2026-06-18T03:02:59.863Z"
"55-6-01","nursery","55S 6","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-6-01","Nursery / 55S 6 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-6-01","","","","","2026-06-18T03:02:59.863Z"
"55-6-02","nursery","55S 6","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-6-02","Nursery / 55S 6 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-6-02","","","","","2026-06-18T03:02:59.863Z"
"55-6-03","nursery","55S 6","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-6-03","Nursery / 55S 6 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-6-03","","","","","2026-06-18T03:02:59.863Z"
"55-6-04","nursery","55S 6","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-6-04","Nursery / 55S 6 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-6-04","","","","","2026-06-18T03:02:59.863Z"
"55-6-05","nursery","55S 6","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-6-05","Nursery / 55S 6 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-6-05","","","","","2026-06-18T03:02:59.863Z"
"55-6-06","nursery","55S 6","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-6-06","Nursery / 55S 6 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-6-06","","","","","2026-06-18T03:02:59.863Z"
"55-6-07","nursery","55S 6","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-6-07","Nursery / 55S 6 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-6-07","","","","","2026-06-18T03:02:59.863Z"
"55-6-08","nursery","55S 6","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-6-08","Nursery / 55S 6 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-6-08","","","","","2026-06-18T03:02:59.863Z"
"55-6-09","nursery","55S 6","55S","open","No SKU","0","0","0","0","2","0","","","","","0","55-6-09","Nursery / 55S 6 / 55S · Mother + litter","https://app.frostbitefeeders.com/inventory-test/#55-6-09","","","","","2026-06-18T03:02:59.863Z"
"B1-01","breeding","Breed 1","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B1-01","Breeding / Breed 1 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B1-01","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B1-02","breeding","Breed 1","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B1-02","Breeding / Breed 1 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B1-02","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B1-03","breeding","Breed 1","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B1-03","Breeding / Breed 1 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B1-03","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B1-04","breeding","Breed 1","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B1-04","Breeding / Breed 1 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B1-04","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B1-05","breeding","Breed 1","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B1-05","Breeding / Breed 1 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B1-05","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B1-06","breeding","Breed 1","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B1-06","Breeding / Breed 1 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B1-06","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B1-07","breeding","Breed 1","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B1-07","Breeding / Breed 1 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B1-07","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B1-08","breeding","Breed 1","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B1-08","Breeding / Breed 1 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B1-08","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B1-09","breeding","Breed 1","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B1-09","Breeding / Breed 1 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B1-09","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B2-01","breeding","Breed 2","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B2-01","Breeding / Breed 2 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B2-01","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B2-02","breeding","Breed 2","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B2-02","Breeding / Breed 2 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B2-02","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B2-03","breeding","Breed 2","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B2-03","Breeding / Breed 2 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B2-03","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B2-04","breeding","Breed 2","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B2-04","Breeding / Breed 2 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B2-04","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B2-05","breeding","Breed 2","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B2-05","Breeding / Breed 2 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B2-05","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B2-06","breeding","Breed 2","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B2-06","Breeding / Breed 2 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B2-06","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B2-07","breeding","Breed 2","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B2-07","Breeding / Breed 2 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B2-07","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B2-08","breeding","Breed 2","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B2-08","Breeding / Breed 2 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B2-08","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B2-09","breeding","Breed 2","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B2-09","Breeding / Breed 2 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B2-09","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B3-01","breeding","Breed 3","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B3-01","Breeding / Breed 3 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B3-01","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B3-02","breeding","Breed 3","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B3-02","Breeding / Breed 3 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B3-02","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B3-03","breeding","Breed 3","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B3-03","Breeding / Breed 3 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B3-03","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B3-04","breeding","Breed 3","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B3-04","Breeding / Breed 3 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B3-04","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B3-05","breeding","Breed 3","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B3-05","Breeding / Breed 3 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B3-05","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B3-06","breeding","Breed 3","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B3-06","Breeding / Breed 3 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B3-06","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
"B3-07","breeding","Breed 3","70S","breeding","No SKU","1","7","0","0","","0","","","","","0","B3-07","Breeding / Breed 3 / 70S · Breeder rotation","https://app.frostbitefeeders.com/inventory-test/#B3-07","","","","Active breeder bin","2026-06-18T03:02:59.862Z"
